KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,URBANICITY,CLAIM_FLAG
0.0,1939.0,60.0,0.0,11.0,67349.0,0.0,z_no,m,phd,professional,private,14230.0,11.0,minivan,4461.0,2.0,no,3.0,0.0,18.0,highly urban/ urban,no
0.0,1956.0,43.0,0.0,11.0,91449.0,257252.0,z_no,m,z_high school,z_blue collar,commercial,14940.0,1.0,minivan,0.0,0.0,no,0.0,0.0,1.0,highly urban/ urban,no
0.0,1951.0,48.0,0.0,11.0,52881.0,0.0,z_no,m,bachelors,manager,private,21970.0,1.0,van,0.0,0.0,no,2.0,0.0,10.0,highly urban/ urban,no
0.0,1964.0,35.0,1.0,10.0,16039.0,124191.0,yes,z_f,z_high school,clerical,private,4010.0,4.0,z_suv,11620.0,2.0,no,3.0,0.0,10.0,highly urban/ urban,no
0.0,1948.0,51.0,0.0,14.0,53526.0,306251.0,yes,m,<high school,z_blue collar,private,15440.0,7.0,minivan,0.0,0.0,no,0.0,0.0,6.0,highly urban/ urban,no
0.0,1949.0,50.0,0.0,11.0,114986.0,243925.0,yes,z_f,phd,doctor,private,18000.0,1.0,z_suv,11620.0,2.0,yes,3.0,0.0,17.0,highly urban/ urban,no
0.0,1965.0,34.0,1.0,12.0,125301.0,0.0,z_no,z_f,bachelors,z_blue collar,commercial,17430.0,1.0,sports car,0.0,0.0,no,0.0,2862.5,7.0,highly urban/ urban,yes
0.0,1945.0,54.0,0.0,11.0,18755.0,160629.0,yes,z_f,<high school,z_blue collar,private,8780.0,1.0,z_suv,0.0,0.0,no,0.0,0.0,1.0,highly urban/ urban,no
0.0,1959.0,40.0,1.0,11.0,50815.0,0.0,z_no,m,z_high school,manager,private,18930.0,6.0,minivan,3295.0,1.0,no,2.0,2862.5,1.0,highly urban/ urban,yes
0.0,1955.0,44.0,2.0,12.0,43486.0,0.0,z_no,z_f,z_high school,z_blue collar,commercial,5900.0,10.0,z_suv,0.0,0.0,no,0.0,0.0,10.0,z_highly rural/ rural,no
0.0,1961.0,37.0,2.0,11.0,107961.0,333680.0,yes,m,bachelors,z_blue collar,commercial,16970.0,1.0,van,2374.0,1.0,yes,7.5,2862.5,7.0,highly urban/ urban,yes
0.0,1964.0,34.0,0.0,10.0,62978.0,0.0,z_no,z_f,bachelors,clerical,private,11200.0,1.0,z_suv,0.0,0.0,no,0.0,2501.0,1.0,highly urban/ urban,yes
0.0,1949.0,50.0,0.0,7.0,106952.0,0.0,z_no,m,bachelors,professional,commercial,18510.0,7.0,van,0.0,0.0,no,1.0,0.0,17.0,z_highly rural/ rural,no
0.0,1945.0,53.0,0.0,14.0,77100.0,0.0,z_no,z_f,masters,lawyer,private,18300.0,1.0,sports car,0.0,0.0,no,0.0,2862.5,11.0,highly urban/ urban,yes
0.0,1956.0,43.0,0.0,5.0,52642.0,209970.0,yes,z_f,masters,professional,private,22420.0,7.0,minivan,0.0,0.0,no,0.0,0.0,1.0,z_highly rural/ rural,no
0.0,1944.0,55.0,0.0,11.0,59162.0,180232.0,yes,m,bachelors,manager,commercial,17600.0,7.0,van,5028.0,2.0,yes,3.0,0.0,9.0,highly urban/ urban,no
0.0,1946.0,53.0,0.0,11.0,130795.0,0.0,z_no,m,phd,,commercial,28340.0,6.0,panel truck,0.0,0.0,no,3.0,1267.0,10.0,highly urban/ urban,yes
0.0,1964.0,35.0,2.0,11.0,21204.0,0.0,z_no,m,z_high school,clerical,private,9230.0,6.0,pickup,0.0,0.0,yes,0.0,0.0,4.0,z_highly rural/ rural,no
0.0,1954.0,45.0,0.0,3.0,0.0,106859.0,yes,z_f,<high school,home maker,private,6000.0,1.0,z_suv,0.0,0.0,no,3.0,2862.5,5.0,highly urban/ urban,yes
0.0,1960.0,39.0,2.5,12.0,51884.0,180951.0,z_no,z_f,bachelors,clerical,private,10590.0,6.0,z_suv,0.0,0.0,no,0.0,0.0,13.0,z_highly rural/ rural,no
0.0,1940.0,59.0,0.0,12.0,87460.0,0.0,z_no,m,z_high school,manager,private,15420.0,1.0,minivan,11620.0,2.0,no,4.0,2862.5,1.0,highly urban/ urban,yes
0.0,1956.0,42.0,0.0,11.0,59945.0,192207.0,yes,m,masters,lawyer,private,14190.0,6.0,minivan,0.0,0.0,no,0.0,0.0,16.0,highly urban/ urban,no
0.0,1965.0,34.0,2.5,13.0,34019.0,91875.0,yes,z_f,masters,lawyer,private,8300.0,7.0,z_suv,0.0,0.0,no,0.0,0.0,20.0,highly urban/ urban,no
0.0,1968.0,31.0,2.0,12.0,18903.0,93797.0,yes,z_f,<high school,clerical,private,17330.0,4.0,minivan,0.0,0.0,no,0.0,0.0,7.0,highly urban/ urban,no
0.0,1971.0,28.0,1.0,13.0,44077.0,170598.0,yes,z_f,z_high school,z_blue collar,commercial,8710.0,6.0,z_suv,8935.0,2.0,no,0.0,2862.5,1.0,highly urban/ urban,yes
0.0,1956.0,43.0,0.0,13.0,37214.0,160629.0,yes,m,<high school,z_blue collar,commercial,26560.0,1.0,panel truck,0.0,0.0,no,3.0,2862.5,1.0,highly urban/ urban,yes
0.0,1950.0,48.0,0.0,14.0,96274.0,282904.0,yes,z_f,masters,lawyer,private,11130.0,6.0,z_suv,8250.0,1.0,no,5.0,0.0,14.0,highly urban/ urban,no
0.0,1952.0,47.0,0.0,11.0,46281.0,0.0,z_no,z_f,<high school,z_blue collar,private,19700.0,10.0,minivan,0.0,0.0,no,1.0,0.0,5.0,highly urban/ urban,no
0.0,1955.0,44.0,2.0,3.0,0.0,82344.0,yes,z_f,z_high school,home maker,private,5900.0,6.0,z_suv,3338.0,3.0,no,0.0,0.0,11.0,highly urban/ urban,no
0.0,1953.0,46.0,0.0,14.0,53526.0,207519.0,yes,m,bachelors,professional,commercial,25660.0,1.0,panel truck,2119.0,1.0,no,2.0,0.0,12.0,highly urban/ urban,no
0.0,1938.0,60.0,0.0,12.0,37940.0,182739.0,yes,z_f,z_high school,z_blue collar,commercial,11290.0,1.0,sports car,0.0,0.0,no,0.0,2862.5,1.0,highly urban/ urban,yes
0.0,1965.0,33.0,1.0,13.0,79606.0,225962.0,yes,z_f,bachelors,professional,private,16830.0,9.0,z_suv,0.0,0.0,no,2.0,0.0,15.0,z_highly rural/ rural,no
0.0,1967.0,32.0,1.0,9.0,31275.0,118160.0,yes,z_f,z_high school,clerical,private,10030.0,1.0,z_suv,0.0,0.0,no,0.0,2862.5,1.0,highly urban/ urban,yes
0.0,1955.0,44.0,2.0,17.0,45488.0,219378.0,yes,m,bachelors,manager,private,22090.0,16.0,minivan,0.0,0.0,no,0.0,0.0,12.0,highly urban/ urban,no
0.0,1964.0,35.0,0.0,8.0,72193.0,0.0,z_no,z_f,bachelors,clerical,private,12220.0,6.0,z_suv,0.0,0.0,no,3.0,0.0,12.0,highly urban/ urban,no
0.0,1959.0,40.0,2.0,3.0,53526.0,98777.0,yes,z_f,masters,home maker,private,14130.0,6.0,z_suv,11620.0,2.0,yes,4.0,0.0,12.0,z_highly rural/ rural,no
0.0,1945.0,54.0,0.0,12.0,33212.0,158432.0,yes,m,<high school,z_blue collar,commercial,24000.0,4.0,panel truck,0.0,0.0,no,5.0,2862.5,8.0,highly urban/ urban,yes
0.0,1950.0,49.0,0.0,5.0,49244.0,163444.0,yes,m,bachelors,clerical,private,15880.0,1.0,minivan,0.0,0.0,no,1.0,0.0,1.0,highly urban/ urban,no
0.0,1963.0,36.0,2.0,12.0,130540.0,344195.0,z_no,z_f,bachelors,z_blue collar,commercial,27200.0,4.0,minivan,0.0,0.0,no,0.0,0.0,9.0,z_highly rural/ rural,no
0.0,1947.0,52.0,0.0,8.0,51278.0,230340.0,yes,z_f,bachelors,professional,private,1500.0,4.0,z_suv,0.0,0.0,no,1.0,0.0,10.0,highly urban/ urban,no
0.0,1958.0,41.0,0.0,7.0,92842.0,286113.0,z_no,m,masters,,commercial,25810.0,6.0,panel truck,1431.0,2.0,no,5.0,0.0,15.0,highly urban/ urban,no
